drug_name_normalization_v1_run_id	provisional_normalized_drug_name	provisional_drug_class	class_mapping_rule	class_mapping_confidence	manual_review_needed	notes
20260415T050152Z	5-fluorouracil	antimetabolite	direct_single_agent_class_lookup	confident	no	These names are mapped directly to antimetabolite class in v1.
20260415T050152Z	Adriamycin, cytoxan, avastin	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	BEVACIZUMAB (AVASTIN)/PLACEBO PROVIDED BY STUDY	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Bevacizumab or Placebo	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Chemo, NOS	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Cytoxan and Taxotere	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Hormone, NOS	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Not otherwise specified	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	TC	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	TCH	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Taxane	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	Taxotere/Cytoxan	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	[Not Available]	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	[Unknown]	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	ac	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	adriamycin+cuclophosphamide	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	adriamycin+cyclophosphamid	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	adriamycin+cyclophosphamide	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	adrimicin+cyclophosphamide	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	adrimycin+cyclophosphamide	unknown_or_review_needed	no_supported_v1_class_assignment	review_needed	yes	V1 preserves this normalized name but does not force it into a narrower provisional class.
20260415T050152Z	ae-37	immunotherapy	provisional_review_needed_class_lookup	review_needed	yes	These names are provisionally treated as immunotherapy but remain flagged for manual review in v1.
20260415T050152Z	albumin-bound paclitaxel	taxane	direct_single_agent_class_lookup	confident	no	These names are mapped directly to taxane class in v1.
20260415T050152Z	anastrozole	endocrine_aromatase_inhibitor	direct_single_agent_class_lookup	confident	no	These names are mapped directly to aromatase-inhibitor class in v1.
