drug_name_normalization_v1_run_id	raw_drug_name	normalized_raw_drug_name_for_matching	provisional_normalized_drug_name	normalization_rule	normalization_confidence	manual_review_needed	notes
20260415T050152Z	Cytoxan	cytoxan	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T050152Z	Tamoxifen	tamoxifen	tamoxifen	brand_generic_equivalence_or_case_normalization	confident	no	Tamoxifen brand/salt variants collapse to tamoxifen.
20260415T050152Z	Cyclophosphamide	cyclophosphamide	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T050152Z	Doxorubicin	doxorubicin	doxorubicin	brand_generic_equivalence_or_case_normalization	confident	no	Doxorubicin and Adriamycin collapse to doxorubicin.
20260415T050152Z	Arimidex	arimidex	anastrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Anastrozole and Arimidex labels collapse to anastrozole.
20260415T050152Z	Adriamycin	adriamycin	doxorubicin	brand_generic_equivalence_or_case_normalization	confident	no	Doxorubicin and Adriamycin collapse to doxorubicin.
20260415T050152Z	Paclitaxel	paclitaxel	paclitaxel	brand_generic_equivalence_or_case_normalization	confident	no	Paclitaxel and Taxol collapse to paclitaxel.
20260415T050152Z	Taxotere	taxotere	docetaxel	brand_generic_equivalence_or_case_normalization	confident	no	Docetaxel and Taxotere collapse to docetaxel.
20260415T050152Z	Docetaxel	docetaxel	docetaxel	brand_generic_equivalence_or_case_normalization	confident	no	Docetaxel and Taxotere collapse to docetaxel.
20260415T050152Z	Taxol	taxol	paclitaxel	brand_generic_equivalence_or_case_normalization	confident	no	Paclitaxel and Taxol collapse to paclitaxel.
20260415T050152Z	Anastrozole	anastrozole	anastrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Anastrozole and Arimidex labels collapse to anastrozole.
20260415T050152Z	5-Fluorouracil	5 fluorouracil	5-fluorouracil	generic_synonym_and_case_normalization	confident	no	5-FU and fluorouracil labels collapse to 5-fluorouracil.
20260415T050152Z	Epirubicin	epirubicin	epirubicin	case_punctuation_normalization_only	confident	no	Single-agent name retained with case normalization only.
20260415T050152Z	Trastuzumab	trastuzumab	trastuzumab	brand_generic_equivalence_or_case_normalization	confident	no	Trastuzumab and Herceptin collapse to trastuzumab.
20260415T050152Z	Fluorouracil	fluorouracil	5-fluorouracil	generic_synonym_and_case_normalization	confident	no	5-FU and fluorouracil labels collapse to 5-fluorouracil.
20260415T050152Z	Letrozole	letrozole	letrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Letrozole and Femara labels collapse to letrozole.
20260415T050152Z	CYCLOPHOSPHAMIDE	cyclophosphamide	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T050152Z	Herceptin	herceptin	trastuzumab	brand_generic_equivalence_or_case_normalization	confident	no	Trastuzumab and Herceptin collapse to trastuzumab.
20260415T050152Z	Carboplatin	carboplatin	carboplatin	case_punctuation_normalization_only	confident	no	Single-agent name retained with case normalization only.
20260415T050152Z	Femara	femara	letrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Letrozole and Femara labels collapse to letrozole.
20260415T050152Z	Methotrexate	methotrexate	methotrexate	case_punctuation_normalization_only	confident	no	Single-agent name retained with case normalization only.
20260415T050152Z	DOXORUBICIN	doxorubicin	doxorubicin	brand_generic_equivalence_or_case_normalization	confident	no	Doxorubicin and Adriamycin collapse to doxorubicin.
20260415T050152Z	Exemestane	exemestane	exemestane	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Exemestane and Aromasin labels collapse to exemestane.
20260415T050152Z	cyclophosphamide	cyclophosphamide	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T050152Z	PACLITAXEL	paclitaxel	paclitaxel	brand_generic_equivalence_or_case_normalization	confident	no	Paclitaxel and Taxol collapse to paclitaxel.
20260415T050152Z	ARIMIDEX	arimidex	anastrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Anastrozole and Arimidex labels collapse to anastrozole.
20260415T050152Z	Aromasin	aromasin	exemestane	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Exemestane and Aromasin labels collapse to exemestane.
20260415T050152Z	CYTOXAN	cytoxan	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T050152Z	[Not Available]	not available	[Not Available]	missing_like_value_preserved	unmapped	yes	Missing-like raw values are preserved exactly and left unmapped in v1.
